ATVI,Activision Blizzard Inc,20190212,Activision full-year forecasts miss  to cut nearly 800 jobs ,Activision Blizzard Inc forecast full-year profit and revenue below analysts' estimates on Tuesday and said would invest more in developing its game franchises as the company faces intense competition from games such as "Fortnite".,topStory
ATVI,Activision Blizzard Inc,20190212,UPDATE 1-Activision full-year forecasts miss  to cut nearly 800 jobs ,Feb 12 Activision Blizzard Inc forecast full-year profit and revenue below analysts' estimates on Tuesday and said would invest more in developing its game franchises as the company faces intense competition from games such as "Fortnite".,normal
ATVI,Activision Blizzard Inc,20190212,Activision Blizzard's 1st-qtr profit forecast misses estimates ,Feb 12 Activision Blizzard Inc reported weaker-than-expected fourth-quarter revenue and forecast current-quarter revenue and profit below analysts' estimates on Tuesday  as it faces competition from "Fortnite" and invests more in developing its games.,normal
AMD,Advanced Micro Devices Inc,20190205,Abu Dhabi's Mubadala sells 34.9 million shares in U.S. chipmaker AMD ,ABU DHABI Abu Dhabi's Mubadala Investment Co has sold 34.9 million common equity shares in Advanced Micro Devices (AMD)  a company spokesperson said on Tuesday  and plans to convert 75 million warrants in the U.S chipmaker.,topStory
AMD,Advanced Micro Devices Inc,20190205,UPDATE 2-Abu Dhabi's Mubadala sells 34.9 mln shares in U.S. chipmaker AMD ,ABU DHABI  Feb 5 Abu Dhabi's Mubadala Investment Co has sold 34.9 million common equity shares in Advanced Micro Devices (AMD)  a company spokesperson said on Tuesday  and plans to convert 75 million warrants in the U.S chipmaker.,normal
AMD,Advanced Micro Devices Inc,20190205,CORRECTED-Mubadala to sell 34.9 mln shares in Advanced Micro Devices ,ABU DHABI  Feb 5 Mubadala Investment Company announced on Tuesday the sale of its stake of 34.9 million common equity shares  along with a plan to convert 75 million warrants  in US-based semi-conductor company Advanced Micro Devices.,normal
AKAM,Akamai Technologies Inc,20190212,Akamai earnings beat on cyber-security strength ,Akamai Technologies Inc reported better-than-expected quarterly earnings and forecast current-quarter profit above estimates  driven by strong demand for its cyber-security and media content delivery services.,topStory
AKAM,Akamai Technologies Inc,20190212,UPDATE 1-Akamai earnings beat on cyber-security strength ,Feb 12 Akamai Technologies Inc reported better-than-expected quarterly earnings and forecast current-quarter profit above estimates  driven by strong demand for its cyber-security and media content delivery services.,normal
AKAM,Akamai Technologies Inc,20190212,Akamai quarterly revenue rises 8 percent ,Feb 12 Akamai Technologies Inc reported an 8 percent rise in fourth-quarter revenue on Tuesday  driven by stronger demand for both its cyber-security services and its traditional business of speeding up media content delivery on the web.,normal
ALXN,Alexion Pharmaceuticals Inc,20190207,Alexion reaches $13 million deal in U.S. drug charity kickback probe ,Alexion Pharmaceuticals Inc  the maker of an expensive blood disorder treatment  has agreed to pay $13 million to resolve a U.S. Department of Justice probe into its financial support of charities that help Medicare patients cover out-of-pocket drug costs.,topStory
ALNY,Alnylam Pharmaceuticals Inc,20190306,Side effects of Alnylam's gene-silencing drug raise concerns  shares slip ,Alnylam Pharmaceuticals Inc's late-stage trial data on its new gene silencing drug cast doubt on its safety  even as results revealed its effectiveness in treating a rare  painful disease.,topStory
ALNY,Alnylam Pharmaceuticals Inc,20190306,UPDATE 2-Side effects of Alnylam's gene-silencing drug raise concerns  shares slip ,March 6 Alnylam Pharmaceuticals Inc's late-stage trial data on its new gene silencing drug cast doubt on its safety  even as results revealed its effectiveness in treating a rare  painful disease.,normal
ALNY,Alnylam Pharmaceuticals Inc,20190306,Alnylam's gene-silencing drug meets main goal in late-stage study ,March 6 Alnylam Pharmaceuticals Inc said on Wednesday its gene-silencing drug for treating a rare  painful disease met the main goal in a late-stage trial.,normal
GOOG,Alphabet Inc,20190307,UPDATE 1-Xerox restructures business to create holding company ,March 7 Xerox Corp said on Thursday it will implement a structure in which the printer maker will become a wholly owned unit of a new holding company.,normal
GOOG,Alphabet Inc,20190301,Google workers support proposed U.S. laws to curb mandatory arbitration ,SAN FRANCISCO Six Google employees on Thursday joined U.S. lawmakers to support bills that would ban mandatory arbitration in employment and consumer contracts  as the workers seek to build on recent success in getting the Alphabet Inc company to drop some arbitration provisions.,topStory
GOOG,Alphabet Inc,20190301,UPDATE 3-Lyft's IPO filing shows surging revenue  widening losses ,SAN FRANCISCO  March 1 Lyft Inc inched closer to becoming the first ride-hailing company to make a stock market debut by releasing its filing for an initial public offering on Friday  revealing to the public a detailed look at its financial performance.,normal
GOOG,Alphabet Inc,20190228,Google workers support proposed U.S. laws to curb mandatory arbitration ,SAN FRANCISCO  Feb 28 Six Google employees on Thursday joined U.S. lawmakers to support bills that would ban mandatory arbitration in employment and consumer contracts  as the workers seek to build on recent success in getting the Alphabet Inc company to drop some arbitration provisions.,topStory
GOOG,Alphabet Inc,20190228,YouTube disables comments on videos featuring minors ,Alphabet Inc's YouTube said on Thursday it had disabled comments on videos featuring minors  a week after a magazine reported the platform displayed ads next to videos that showed exploitation of children.,normal
GOOG,Alphabet Inc,20190228,YouTube disables comments on videos featuring minors ,Feb 28 Alphabet Inc's YouTube said on Thursday it had disabled comments on videos featuring minors  a week after a magazine reported the platform displayed ads next to videos that showed exploitation of children.,normal
GOOG,Alphabet Inc,20190225,HERE expands mapping services to China with Navinfo partnership ,FRANKFURT  Feb 25 HERE Technologies  the digital mapping company owned by Germany's premium carmakers said it had partnered with China's Navinfo to offer location services in China.,normal
GOOG,Alphabet Inc,20190221,AT&T pulls ads from YouTube as concerns about content resurface ,Feb 21 AT&T Inc said on Thursday it has removed its advertising from Alphabet Inc's YouTube once again  following growing concerns the platform had displayed ads next to video content that showed the exploitation of children.,topStory
GOOG,Alphabet Inc,20190221,Google fails to disclose microphone in Nest Secure ,Alphabet Inc's Google said on Wednesday it had made an "error" in not disclosing that its Nest Secure home security system had a built-in microphone in its devices. | Video ,normal
GOOG,Alphabet Inc,20190221,UPDATE 1-Google fails to disclose microphone in Nest Secure ,Feb 20 Alphabet Inc's Google said on Wednesday it had made an "error" in not disclosing that its Nest Secure home security system had a built-in microphone in its devices.,normal
GOOG,Alphabet Inc,20190220,Samsung announces Galaxy Fold phone with apps from Facebook  Google ,SAN FRANCISCO  Feb 20 Samsung Electronics Co Ltd on Wednesday said it will release a pricey folding smart phone in April  with specially adapted applications from Facebook Inc and Alphabet Inc designed for the new device.,topStory
GOOG,Alphabet Inc,20190220,Google fails to disclose microphone in Nest Secure ,Feb 20 Alphabet Inc's Google said on Wednesday it had made an "error" in not disclosing that its Nest Secure home security system had a built-in microphone in its devices.,normal
GOOG,Alphabet Inc,20190219,Google to buy data migration company Alooma in cloud push ,Alphabet Inc's Google said on Tuesday it will buy data migration company Alooma  as part of efforts to catch up with bigger cloud service rivals Amazon.com Inc and Microsoft Corp.,normal
